#timestamp_kf,x,y,z,qw,qx,qy,qz,vx,vy,vz
1664954577252126455,0,0,0,1,0,0,0,0,0,0
1664954577452126503,0.00065577572103694276029,-0.00016536983390839704242,-0.00012898340695896570729,0.99999999778830273023,-2.2669756614320833786e-05,-3.7758961729520429808e-05,4.983710832338242682e-05,0.0034128818856143812964,-0.0012186367142226594684,-0.00079221137853746625979
1664954580552126408,-0.029249035147664893819,0.0019316450773765021873,-0.026285223391905383067,0.9999963161016995894,-0.00088100181365743728771,-0.0023038193466441486343,-0.0011331527928825542179,0.043930041028496860656,0.0051459499266084170882,-0.0048323743642008833848
1664954580752126455,0.066853774058820425452,-0.0037007012403739497283,0.0035498719759445495833,0.99999330892683879757,0.00017162839976870100265,-0.0030978173421849493178,-0.0019380848688363510289,0.59805495960330512517,-0.0054262897925405366092,-0.00011031332915974016717
1664954580952126503,0.18252971088948891087,-0.0022549425447768115666,0.00097539062257845420088,0.99999966182795407832,-0.00074492458455064042115,-0.00024741609829615027628,-0.00024539073951228756792,0.51439029329592400597,0.030813776847182613311,-0.0039239683679125562238
1664954581152126551,0.28287154948510995212,-0.0044666696163035077283,0.0025255410631774568263,0.99999950275854188053,0.00027680317660574212807,0.00015952576759422035127,0.00094467676998600939343,0.43891633979531025078,-0.010901100238819828869,0.016289859457472518484
1664954581452126503,0.38478163930328990183,-0.0056418026274538349979,0.0037622647231471766614,0.99999891215156666568,0.00020371763819531591767,0.0010239122794407529583,0.0010420165310367995957,0.25368572832484898028,0.012992680422777999616,0.0002432901303827030709
1664954581652126551,0.44988962832186596419,-0.0074152621261192484467,0.0045903035807641047808,0.99998236220554614917,0.00032677729264986196374,-0.0058545038987998796257,-0.00094513412590719258436,0.57651128100267712284,-0.0022093931986145419477,0.00047403223361977553374
1664954581952126503,0.6824151380146712409,-0.0096654877861197426026,0.0048218747165598655618,0.99999158219735728714,0.001068068283863194811,-0.0039531812776689824809,0.00025907981958945566032,0.73692098390655758067,-0.01832811785374265437,0.0081156882349733162202
1664954582152126551,0.82731487637178302563,-0.0038537290921049011452,0.0066391460137846221648,0.99998843619989874476,-0.0016902017285424565142,-0.0044975948598745905255,0.00020573058667999218193,0.67241034429380674986,-0.012329766662512047642,-0.0010140071447921287368
1664954582452126503,1.0194059001479351956,-0.0067386595871746302402,0.0069499193638887894753,0.99999349413471383397,-0.001425728816502665414,-0.0029370476501373071927,0.001533863321419223812,0.58929707904931394324,-0.014549378929381087677,0.002201415605204823725
1664954582652126551,1.1565584562094850529,-0.0054287577220138022449,0.008866249737057152816,0.99997571953728137117,-0.00091893338887244176757,-0.0068924895683841174571,0.00045769517473699157387,0.87430213319186678156,-0.0039169875452107431185,0.0081251511410513118511
1664954582952126503,1.4512638150560457362,0.0046687935656317099478,0.013081305697719274386,0.99998322627194979884,-0.0051445704519164402527,-0.0019799601081109128101,0.0017777310196350395305,0.90898220602719792538,0.046404957708600820532,0.013353835590236999564
1664954583152126551,1.629339180448644786,0.0016989775469116764894,0.013222316969932748285,0.99998037287363406023,-0.0031142449185573928619,-0.0050958116289155684989,0.0018942148604748005377,0.86527800621242256796,0.0028169068194293100937,0.0091258478581076902386
